Date,Adj Close
2010-01-05,6.186954
2010-01-06,6.186954
2010-01-07,6.174579
2010-01-08,6.174579
2010-01-11,6.205514
2010-01-12,6.143644
2010-01-13,6.174579
2010-01-14,6.193141
2010-01-15,6.162206
2010-01-19,6.217888
2010-01-20,6.168393
2010-01-21,6.118897
2010-01-22,6.044653
2010-01-25,6.044653
2010-01-26,6.044653
2010-01-27,6.032279
2010-01-28,6.001343
2010-01-29,6.007532
2010-02-01,6.013719
2010-02-02,6.026093
2010-02-03,6.019905
2010-02-04,5.97041
2010-02-05,5.920914
2010-02-08,5.914728
2010-02-09,5.920914
2010-02-10,5.908541
2010-02-11,5.933289
2010-02-12,5.958036
2010-02-16,5.945662
2010-02-17,5.988971
2010-02-18,5.976597
2010-02-19,5.964223
2010-02-22,5.97041
2010-02-23,5.964223
2010-02-24,5.958036
2010-02-25,5.920914
2010-02-26,5.920914
2010-03-01,5.920914
2010-03-02,5.927102
2010-03-03,5.939476
2010-03-04,5.951848
2010-03-05,5.995159
2010-03-08,6.001343
2010-03-09,6.007532
2010-03-10,6.013719
2010-03-11,6.013719
2010-03-12,6.026093
2010-03-15,6.013719
2010-03-16,6.038466
2010-03-17,6.0694
2010-03-18,6.057027
2010-03-19,6.050839
2010-03-22,6.063215
2010-03-23,6.100336
2010-03-24,6.063215
2010-03-25,6.050839
2010-03-26,6.044653
2010-03-29,6.094149
2010-03-30,6.106523
2010-03-31,6.131271
2010-04-01,6.174579
2010-04-05,6.199327
2010-04-06,6.217888
2010-04-07,6.205514
2010-04-08,6.205514
2010-04-09,6.205514
2010-04-12,6.180766
2010-04-13,6.180766
2010-04-14,6.230262
2010-04-15,6.255009
2010-04-16,6.186954
2010-04-19,6.156019
2010-04-20,6.211702
2010-04-21,6.224075
2010-04-22,6.211702
2010-04-23,6.224075
2010-04-26,6.248824
2010-04-27,6.186954
2010-04-28,6.162206
2010-04-29,6.205514
2010-04-30,6.229186
2010-05-03,6.247873
2010-05-04,6.179352
2010-05-05,6.179352
2010-05-06,6.073456
2010-05-07,5.992476
2010-05-10,6.141976
2010-05-11,6.141976
2010-05-12,6.198039
2010-05-13,6.210497
2010-05-14,6.204268
2010-05-17,6.166893
2010-05-18,6.185581
2010-05-19,6.117059
2010-05-20,6.029852
2010-05-21,6.029852
2010-05-24,6.054769
2010-05-25,6.060997
2010-05-26,6.067227
2010-05-27,6.029852
2010-05-28,6.067227
2010-06-01,6.079685
2010-06-02,6.092143
2010-06-03,6.085914
2010-06-04,6.148205
2010-06-07,6.154434
2010-06-08,6.160665
2010-06-09,6.141976
2010-06-10,6.104601
2010-06-11,6.117059
2010-06-14,6.073456
2010-06-15,6.073456
2010-06-16,6.073456
2010-06-17,6.092143
2010-06-18,6.092143
2010-06-21,6.085914
2010-06-22,6.104601
2010-06-23,6.117059
2010-06-24,6.098372
2010-06-25,6.104601
2010-06-28,6.148205
2010-06-29,6.148205
2010-06-30,6.104601
2010-07-01,6.067227
2010-07-02,6.048539
2010-07-06,6.048539
2010-07-07,6.023622
2010-07-08,5.980018
2010-07-09,5.986246
2010-07-12,6.011164
2010-07-13,5.998705
2010-07-14,6.004935
2010-07-15,6.004935
2010-07-16,5.998705
2010-07-19,5.980018
2010-07-20,5.980018
2010-07-21,5.998705
2010-07-22,5.986246
2010-07-23,5.96133
2010-07-26,5.948872
2010-07-27,5.936413
2010-07-28,5.955101
2010-07-29,5.948872
2010-07-30,5.986246
2010-08-02,5.998705
2010-08-03,6.017392
2010-08-04,6.029852
2010-08-05,6.029852
2010-08-06,6.029852
2010-08-09,6.029852
2010-08-10,6.017392
2010-08-11,6.004935
2010-08-12,6.004935
2010-08-13,6.017392
2010-08-16,6.054769
2010-08-17,6.060997
2010-08-18,6.060997
2010-08-19,6.036081
2010-08-20,6.036081
2010-08-23,6.048539
2010-08-24,6.029852
2010-08-25,6.017392
2010-08-26,6.029852
2010-08-27,6.023622
2010-08-30,6.042308
2010-08-31,6.054769
2010-09-01,6.073456
2010-09-02,6.079685
2010-09-03,6.085914
2010-09-07,6.117059
2010-09-08,6.123289
2010-09-09,6.104601
2010-09-10,6.073456
2010-09-13,6.110831
2010-09-14,6.154434
2010-09-15,6.123289
2010-09-16,6.104601
2010-09-17,6.129518
2010-09-20,6.166893
2010-09-21,6.185581
2010-09-22,6.198039
2010-09-23,6.19181
2010-09-24,6.247873
2010-09-27,6.260332
2010-09-28,6.27279
2010-09-29,6.26656
2010-09-30,6.260332
2010-10-01,6.241643
2010-10-04,6.235415
2010-10-05,6.297705
2010-10-06,6.322622
2010-10-07,6.310164
2010-10-08,6.391144
2010-10-11,6.397373
2010-10-12,6.403602
2010-10-13,6.453436
2010-10-14,6.465893
2010-10-15,6.434749
2010-10-18,6.42852
2010-10-19,6.341311
2010-10-20,6.409832
2010-10-21,6.391144
2010-10-22,6.397373
2010-10-25,6.459665
2010-10-26,6.409832
2010-10-27,6.341311
2010-10-28,6.372457
2010-10-29,6.397373
2010-11-01,6.434749
2010-11-02,6.465893
2010-11-03,6.472124
2010-11-04,6.596707
2010-11-05,6.596707
2010-11-08,6.57179
2010-11-09,6.565561
2010-11-10,6.546874
2010-11-11,6.521957
2010-11-12,6.409832
2010-11-15,6.403602
2010-11-16,6.285248
2010-11-17,6.285248
2010-11-18,6.359999
2010-11-19,6.335082
2010-11-22,6.34754
2010-11-23,6.291478
2010-11-24,6.328853
2010-11-26,6.279019
2010-11-29,6.279019
2010-11-30,6.27279
2010-12-01,6.34754
2010-12-02,6.391144
2010-12-03,6.409832
2010-12-06,6.42229
2010-12-07,6.416061
2010-12-08,6.397373
2010-12-09,6.397373
2010-12-10,6.416061
2010-12-13,6.440977
2010-12-14,6.447207
2010-12-15,6.434749
2010-12-16,6.447207
2010-12-17,6.458683
2010-12-20,6.471434
2010-12-21,6.516066
2010-12-22,6.535191
2010-12-23,6.535191
2010-12-27,6.547945
2010-12-28,6.567072
2010-12-29,6.579823
2010-12-30,6.560696
2010-12-31,6.567072
2011-01-03,6.5862
2011-01-04,6.560696
2011-01-05,6.579823
2011-01-06,6.579823
2011-01-07,6.598951
2011-01-10,6.579823
2011-01-11,6.598951
2011-01-12,6.618078
2011-01-13,6.541568
2011-01-14,6.541568
2011-01-18,6.554319
2011-01-19,6.516066
