Date,Adj Close
2010-06-01,4.658614
2010-06-02,4.653959
2010-06-03,4.653959
2010-06-04,4.705153
2010-06-07,4.737731
2010-06-08,4.723769
2010-06-09,4.709807
2010-06-10,4.681884
2010-06-11,4.672575
2010-06-14,4.639998
2010-06-15,4.621383
2010-06-16,4.621383
2010-06-17,4.621383
2010-06-18,4.616729
2010-06-21,4.616729
2010-06-22,4.621383
2010-06-23,4.626036
2010-06-24,4.621383
2010-06-25,4.612074
2010-06-28,4.621383
2010-06-29,4.663267
2010-06-30,4.639998
2010-07-01,4.616729
2010-07-02,4.598112
2010-07-06,4.593458
2010-07-07,4.560881
2010-07-08,4.537611
2010-07-09,4.537611
2010-07-12,4.542265
2010-07-13,4.537611
2010-07-14,4.528303
2010-07-15,4.505033
2010-07-16,4.514341
2010-07-19,4.518995
2010-07-20,4.514341
2010-07-21,4.528303
2010-07-22,4.509688
2010-07-23,4.486417
2010-07-26,4.495725
2010-07-27,4.472455
2010-07-28,4.45384
2010-07-29,4.45384
2010-07-30,4.444532
2010-08-02,4.463148
2010-08-03,4.463148
2010-08-04,4.472455
2010-08-05,4.491071
2010-08-06,4.500379
2010-08-09,4.481763
2010-08-10,4.472455
2010-08-11,4.449186
2010-08-12,4.472455
2010-08-13,4.472455
2010-08-16,4.486417
2010-08-17,4.495725
2010-08-18,4.500379
2010-08-19,4.500379
2010-08-20,4.491071
2010-08-23,4.491071
2010-08-24,4.491071
2010-08-25,4.481763
2010-08-26,4.509688
2010-08-27,4.509688
2010-08-30,4.528303
2010-08-31,4.532957
2010-09-01,4.528303
2010-09-02,4.542265
2010-09-03,4.556227
2010-09-07,4.579496
2010-09-08,4.570188
2010-09-09,4.570188
2010-09-10,4.565535
2010-09-13,4.588804
2010-09-14,4.602767
2010-09-15,4.574842
2010-09-16,4.565535
2010-09-17,4.598112
2010-09-20,4.602767
2010-09-21,4.598112
2010-09-22,4.612074
2010-09-23,4.612074
2010-09-24,4.635344
2010-09-27,4.63069
2010-09-28,4.635344
2010-09-29,4.626036
2010-09-30,4.616729
2010-10-01,4.579496
2010-10-04,4.588804
2010-10-05,4.63069
2010-10-06,4.649305
2010-10-07,4.644651
2010-10-08,4.728424
2010-10-11,4.733077
2010-10-12,4.756347
2010-10-13,4.761001
2010-10-14,4.779617
2010-10-15,4.761001
2010-10-18,4.765655
2010-10-19,4.709807
2010-10-20,4.765655
2010-10-21,4.737731
2010-10-22,4.733077
2010-10-25,4.765655
2010-10-26,4.747039
2010-10-27,4.719115
2010-10-28,4.751693
2010-10-29,4.765655
2010-11-01,4.761001
2010-11-02,4.802886
2010-11-03,4.816848
2010-11-04,4.891312
2010-11-05,4.891312
2010-11-08,4.891312
2010-11-09,4.895967
2010-11-10,4.87735
2010-11-11,4.858733
2010-11-12,4.765655
2010-11-15,4.765655
2010-11-16,4.67723
2010-11-17,4.663267
2010-11-18,4.719115
2010-11-19,4.705153
2010-11-22,4.7005
2010-11-23,4.691192
2010-11-24,4.723769
2010-11-26,4.7005
2010-11-29,4.714462
2010-11-30,4.7005
2010-12-01,4.765655
2010-12-02,4.774963
2010-12-03,4.80754
2010-12-06,4.812195
2010-12-07,4.802886
2010-12-08,4.80754
